Order_Id,Order_Date,Order_Status,Order_Region,Market,ISO3,Customer_Segment,Product_Id,Product_Name,Category_Name,Product_Price,Shipping_Date,Shipping_Mode,Shipment(real),Shipment(scheduled),Delivery_Status,Payment_Type,Item_Price,Item_Quantity,Sales,Profit_Capped,Year,GDP,Population,Delay_Days,Delivery_Quality,GDP_per_capita,Profit_Margin
6016,2015-03-29,PENDING_PAYMENT,South America,LATAM,COL,Corporate,1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,399.98,2015-03-31,Standard Class,2,4,Advance shipping,PAYMENT,400,1,399.98001,-18.61,2015,293492370193.166,46969940.0,-2,Early,6248.514905345121,-4.652732520307702
40762,2016-08-18,COMPLETE,West of USA,USCA,USA,Consumer,1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,399.98,2016-08-21,Standard Class,3,4,Advance shipping,DEBIT,400,1,399.98001,38.0,2016,18695110842000.0,324353340.0,-1,Early,57638.10183671918,9.500474786227443
4851,2015-03-12,COMPLETE,Central America,LATAM,MEX,Consumer,818,Titleist Pro V1x Golf Balls,Electronics,47.99,2015-03-14,Standard Class,2,4,Advance shipping,DEBIT,48,5,239.95,55.76,2015,1213294467716.88,121072306.0,-2,Early,10021.23861188272,23.23817461971244
69768,2017-10-15,COMPLETE,Northern Europe,Europe,GBR,Consumer,1349,Web Camera,Cameras,452.04,2017-10-19,Standard Class,4,4,Shipping on time,DEBIT,452,1,452.04001,143.97,2017,2699118387873.1,65966000.0,0,On Time,40916.81150703545,31.848950715667847
47586,2016-11-25,ON_HOLD,West Asia,Pacific Asia,IRQ,Corporate,191,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,99.99,2016-11-27,Standard Class,2,4,Advance shipping,DEBIT,100,5,499.95001,-108.74,2016,166743557747.671,38469627.0,-2,Early,4334.420964041866,-21.75017458245475
30425,2016-03-20,COMPLETE,Oceania,Pacific Asia,NZL,Corporate,1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,49.98,2016-03-22,First Class,2,1,Late delivery,DEBIT,50,4,199.92,41.74,2016,189100085275.23,4714100.0,1,Slight Delay,40113.71953824272,20.878351340536216
30867,2016-03-26,SUSPECTED_FRAUD,Oceania,Pacific Asia,NZL,Consumer,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2016-03-29,Standard Class,3,4,Shipping canceled,TRANSFER,200,1,199.99001,44.8,2016,189100085275.23,4714100.0,-1,Early,40113.71953824272,22.401118935890846
12832,2015-07-07,PENDING_PAYMENT,Western Europe,Europe,BEL,Home Office,1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,49.98,2015-07-10,Second Class,3,2,Late delivery,PAYMENT,50,3,149.94,39.42,2015,461044767544.531,11274196.0,1,Slight Delay,40893.804537772005,26.290516206482593
22447,2015-11-24,PROCESSING,Oceania,Pacific Asia,AUS,Consumer,957,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,299.98,2015-11-27,Standard Class,3,4,Advance shipping,TRANSFER,300,1,299.98001,87.29,2015,1356805839935.9,23815995.0,-1,Early,56970.3613028093,29.0986056037534
42918,2016-09-18,COMPLETE,West Africa,Africa,NGA,Consumer,1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,49.98,2016-09-22,Standard Class,4,4,Shipping on time,DEBIT,50,3,149.94,11.02,2016,404649125252.16,195443700.0,0,On Time,2070.4127339594984,7.349606509270375
9977,2015-05-26,PROCESSING,Central America,LATAM,HND,Corporate,502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,50.0,2015-05-29,Standard Class,3,4,Advance shipping,TRANSFER,50,3,150.0,72.03,2015,20979791685.416,9237305.0,-1,Early,2271.2026598034818,48.02
26683,2016-01-25,PROCESSING,South Asia,Pacific Asia,PAK,Consumer,403,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,129.99,2016-01-29,Standard Class,4,4,Shipping on time,TRANSFER,130,1,129.99001,-6.17,2016,313630000130.435,220138869.0,0,On Time,1424.691611958972,-4.7465185978522495
65734,2017-08-17,PENDING_PAYMENT,Northern Europe,Europe,NOR,Home Office,957,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,299.98,2017-08-22,Second Class,5,2,Late delivery,PAYMENT,300,1,299.98001,117.29,2017,401745275035.261,5276968.0,3,Slight Delay,76131.83840327646,39.0992719814897
19407,2015-10-11,COMPLETE,Western Europe,Europe,BEL,Consumer,1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,49.98,2015-10-14,Standard Class,3,4,Advance shipping,DEBIT,50,2,99.96,34.64,2015,461044767544.531,11274196.0,-1,Early,40893.804537772005,34.65386154461785
22596,2015-11-26,SUSPECTED_FRAUD,Southeast Asia,Pacific Asia,IDN,Consumer,1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,399.98,2015-11-28,Second Class,2,2,Shipping canceled,TRANSFER,400,1,399.98001,91.84,2015,860854232686.214,261799249.0,0,On Time,3288.2226972553844,22.96114748334548
3485,2015-02-20,PENDING,South America,LATAM,BRA,Corporate,1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,49.98,2015-02-26,Standard Class,6,4,Late delivery,TRANSFER,50,4,199.92,43.66,2015,1802211999456.42,201675532.0,2,Slight Delay,8936.195588944423,21.838735494197678
56461,2017-04-04,CLOSED,South America,LATAM,BRA,Corporate,403,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,129.99,2017-04-06,Second Class,2,2,Shipping on time,CASH,130,1,129.99001,34.4,2017,2063514688805.78,204703445.0,0,On Time,10080.507872282169,26.463572085270243
19325,2015-10-10,PENDING_PAYMENT,Western Europe,Europe,NLD,Consumer,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2015-10-16,Standard Class,6,4,Late delivery,PAYMENT,200,1,199.99001,58.8,2015,775743675302.734,16939923.0,2,Slight Delay,45793.81354346971,29.401468603356733
442,2015-01-07,COMPLETE,Central America,LATAM,NIC,Consumer,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2015-01-10,Standard Class,3,4,Advance shipping,DEBIT,200,1,199.99001,47.56,2015,12756696261.0676,6149417.0,-1,Early,2074.456206347301,23.781187870334122
32749,2016-04-23,PROCESSING,South of  USA,USCA,USA,Consumer,191,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,99.99,2016-04-28,Second Class,5,2,Late delivery,TRANSFER,100,5,499.95001,26.4,2016,18695110842000.0,324353340.0,3,Slight Delay,57638.10183671918,5.280527947184159
34805,2016-05-23,ON_HOLD,US Center,USCA,USA,Home Office,403,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,129.99,2016-05-29,Standard Class,6,4,Late delivery,DEBIT,130,1,129.99001,-181.21,2016,18695110842000.0,324353340.0,2,Slight Delay,57638.10183671918,-139.4030202782506
35842,2016-06-07,PROCESSING,US Center,USCA,USA,Consumer,627,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,39.99,2016-06-10,Standard Class,3,4,Advance shipping,TRANSFER,40,3,119.97,7.65,2016,18695110842000.0,324353340.0,-1,Early,57638.10183671918,6.3765941485371345
18312,2015-09-25,COMPLETE,Western Europe,Europe,FRA,Consumer,365,Perfect Fitness Perfect Rip Deck,Cleats,59.99,2015-09-28,Standard Class,3,4,Advance shipping,DEBIT,60,1,59.99,3.14,2015,2442483452642.5,66548272.0,-1,Early,36702.43237333796,5.234205700950159
59835,2017-05-23,CLOSED,Central America,LATAM,MEX,Home Office,365,Perfect Fitness Perfect Rip Deck,Cleats,59.99,2017-05-29,Second Class,6,2,Late delivery,CASH,60,4,239.96001,97.76,2017,1190721475906.0,123400057.0,4,Severe Delay,9649.278167724024,40.740121656104286
21312,2015-11-08,PROCESSING,Eastern Asia,Pacific Asia,CHN,Consumer,1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,49.98,2015-11-11,Standard Class,3,4,Advance shipping,TRANSFER,50,3,149.94,70.47,2015,11280814787468.9,1379860000.0,-1,Early,8175.33285077392,46.99879951980792
59088,2017-05-12,CLOSED,Central America,LATAM,MEX,Consumer,957,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,299.98,2017-05-16,Standard Class,4,4,Shipping on time,CASH,300,1,299.98001,136.79,2017,1190721475906.0,123400057.0,0,On Time,9649.278167724024,45.5997051270183
49473,2016-12-23,PENDING_PAYMENT,West Africa,Africa,NGA,Consumer,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2016-12-25,First Class,2,1,Late delivery,PAYMENT,200,1,199.99001,29.52,2016,404649125252.16,195443700.0,1,Slight Delay,2070.4127339594984,14.760737298828076
44780,2016-10-15,COMPLETE,West Asia,Pacific Asia,TUR,Home Office,957,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,299.98,2016-10-21,Standard Class,6,4,Late delivery,DEBIT,300,1,299.98001,87.29,2016,,,2,Slight Delay,,29.0986056037534
63779,2017-07-20,ON_HOLD,Western Europe,Europe,DEU,Consumer,502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,50.0,2017-07-25,Standard Class,5,4,Late delivery,DEBIT,50,2,100.0,-19.0,2017,3765351626105.89,82657002.0,1,Slight Delay,45553.93414953388,-19.0
415,2015-01-07,CLOSED,Central America,LATAM,SLV,Corporate,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2015-01-09,First Class,2,1,Late delivery,CASH,200,1,199.99001,38.8,2015,23438240000.0,6183676.0,1,Slight Delay,3790.3408910816156,19.400969078405463
4626,2015-03-09,COMPLETE,Caribbean,LATAM,DOM,Corporate,502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,50.0,2015-03-11,First Class,2,1,Late delivery,DEBIT,50,4,200.0,20.57,2015,70966782572.4386,10434829.0,1,Slight Delay,6800.953093954736,10.285
28824,2016-02-25,ON_HOLD,South Asia,Pacific Asia,NPL,Consumer,1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,399.98,2016-03-01,Standard Class,5,4,Late delivery,DEBIT,400,1,399.98001,-66.4,2016,24524109483.5293,27955462.0,1,Slight Delay,877.2564546967351,-16.600829626460584
35118,2016-05-27,PROCESSING,East of USA,USCA,USA,Home Office,778,Bag Boy Beverage Holder,Golf Gloves,24.99,2016-05-31,Standard Class,4,4,Shipping on time,TRANSFER,25,3,74.97,23.0,2016,18695110842000.0,324353340.0,0,On Time,57638.10183671918,30.678938241963454
48476,2016-12-08,PENDING_PAYMENT,Eastern Europe,Europe,ROU,Corporate,957,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,299.98,2016-12-10,Standard Class,2,4,Advance shipping,PAYMENT,300,1,299.98001,40.8,2016,185290759248.844,19702267.0,-2,Early,9404.540058707153,13.600906273721373
61801,2017-06-21,COMPLETE,Southern Europe,Europe,ESP,Consumer,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2017-06-23,Standard Class,2,4,Advance shipping,DEBIT,200,1,199.99001,-167.99,2017,1321754088818.83,46571232.0,-2,Early,28381.342559690715,-83.99919575982821
31165,2016-03-30,COMPLETE,Oceania,Pacific Asia,NZL,Consumer,1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,399.98,2016-03-31,Same Day,1,0,Late delivery,DEBIT,400,1,399.98001,146.99,2016,189100085275.23,4714100.0,1,Slight Delay,40113.71953824272,36.74933654809399
68445,2017-09-26,PENDING,Western Europe,Europe,DEU,Corporate,627,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,39.99,2017-10-02,Second Class,6,2,Late delivery,TRANSFER,40,3,119.97,31.49,2017,3765351626105.89,82657002.0,4,Severe Delay,45553.93414953388,26.248228723847628
25425,2016-01-07,CLOSED,Eastern Asia,Pacific Asia,CHN,Consumer,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2016-01-13,Standard Class,6,4,Late delivery,CASH,200,1,199.99001,60.84,2016,11456024084962.0,1387790000.0,2,Slight Delay,8254.868593203582,30.421519554901767
8487,2015-05-04,PENDING_PAYMENT,South America,LATAM,ARG,Home Office,191,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,99.99,2015-05-07,Standard Class,3,4,Advance shipping,PAYMENT,100,5,499.95001,103.99,2015,594749285413.212,43477012.0,-1,Early,13679.626498095407,20.8000795919576
58662,2017-05-06,PENDING_PAYMENT,South America,LATAM,BRA,Corporate,1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,399.98,2017-05-09,Standard Class,3,4,Advance shipping,PAYMENT,400,1,399.98001,57.8,2017,2063514688805.78,204703445.0,-1,Early,10080.507872282169,14.450722174840688
