GDP,Population,Year,Country,ISO3
19134221644.7325,33831764.0,2015,Afghanistan,AFG
18116572395.0772,34700612.0,2016,Afghanistan,AFG
18753456497.8159,35688935.0,2017,Afghanistan,AFG
18053222687.4126,36743039.0,2018,Afghanistan,AFG
11470171826.9575,2731293.0,2015,Albania,ALB
11988668784.6628,2689469.0,2016,Albania,ALB
13258268435.6048,2648285.0,2017,Albania,ALB
15379508329.7568,2607733.0,2018,Albania,ALB
187493855609.345,40019529.0,2015,Algeria,DZA
180763839522.151,40850721.0,2016,Algeria,DZA
189880896903.073,41689299.0,2017,Algeria,DZA
194554483655.528,42505035.0,2018,Algeria,DZA
673000000.0,52878.0,2015,American Samoa,ASM
671000000.0,52245.0,2016,American Samoa,ASM
612000000.0,51586.0,2017,American Samoa,ASM
639000000.0,50908.0,2018,American Samoa,ASM
2789882569.1005,72174.0,2015,Andorra,AND
2896611878.6258,72181.0,2016,Andorra,AND
3000160414.63795,73763.0,2017,Andorra,AND
3218418631.67579,75162.0,2018,Andorra,AND
102543067840.732,28157798.0,2015,Angola,AGO
59878249719.3279,29183070.0,2016,Angola,AGO
84376935689.3366,30234839.0,2017,Angola,AGO
89512794227.495,31297155.0,2018,Angola,AGO
1437485185.18519,89409.0,2015,Antigua and Barbuda,ATG
1489603703.7037,89969.0,2016,Antigua and Barbuda,ATG
1534855555.55556,90468.0,2017,Antigua and Barbuda,ATG
1661529629.62963,90926.0,2018,Antigua and Barbuda,ATG
594749285413.212,43477012.0,2015,Argentina,ARG
557532320662.955,43900313.0,2016,Argentina,ARG
643628393281.364,44288894.0,2017,Argentina,ARG
524819892360.176,44654882.0,2018,Argentina,ARG
10553337518.414,3004600.0,2015,Armenia,ARM
10546136235.5219,2992300.0,2016,Armenia,ARM
11527458709.0158,2979400.0,2017,Armenia,ARM
12457940694.7395,2969000.0,2018,Armenia,ARM
2962906703.91061,107906.0,2015,Aruba,ABW
2983637430.1676,108727.0,2016,Aruba,ABW
3092427932.96089,108735.0,2017,Aruba,ABW
3276187709.49721,108908.0,2018,Aruba,ABW
1356805839935.9,23815995.0,2015,Australia,AUS
1211588128417.61,24190907.0,2016,Australia,AUS
1330890554614.09,24592588.0,2017,Australia,AUS
1433144978761.67,24963258.0,2018,Australia,AUS
379546097300.633,8642699.0,2015,Austria,AUT
393687359770.273,8736668.0,2016,Austria,AUT
